"PROVMUN","whichMax","Max","pcMax"
"14002","PSOE",3526,32.1979727878733
"14003","PSOE",415,33.2532051282051
"14004","PSOE",629,30.9242871189774
"14005","ABS",2227,35.2875930914277
"14006","PP",496,37.2932330827068
"14007","ABS",4790,31.4986519366081
"14008","ABS",944,33.251144769285
"14009","ABS",954,34.2180774748924
"14010","PSOE",1404,34.8646635212317
"14011","PSOE",199,34.4290657439446
"14012","ABS",1882,30.4876073222096
"14013","ABS",5180,30.8406763515123
"14014","PSOE",920,35.9796636683614
"14015","ABS",571,26.8705882352941
"14016","PSOE",524,39.1922213911743
"14017","PSOE",3496,32.1678321678322
"14018","ABS",1056,28.4712860609329
"14019","PSOE",1926,29.7911832946636
"14020","PSOE",139,35.9173126614987
"14021","ABS",79831,30.6831066304352
"14022","PSOE",1145,28.5821268097853
"14023","PP",803,39.732805541811
"14024","PSOE",596,31.3189700472937
"14025","PSOE",922,31.5321477428181
"14026","ABS",662,32.0270924044509
"14027","ABS",2179,27.4952681388013
"14028","PSOE",124,39.4904458598726
"14029","PSOE",1306,31.258975586405
"14030","PSOE",2663,30.8753623188406
"14031","PSOE",223,37.6053962900506
"14032","PP",148,34.9881796690307
"14033","PSOE",472,36.7887763055339
"14034","PP",110,35.7142857142857
"14035","PP",1890,31.6795172644988
"14036","PSOE",1293,34.572192513369
"14037","PSOE",1072,32.3086196503918
"14038","ABS",10435,32.2845120970237
"14039","PSOE",980,37.6344086021505
"14040","UP",1348,35.6991525423729
"14041","ABS",931,29.2583280955374
"14042","ABS",5043,26.6952517071621
"14043","PSOE",2677,35.3445999471877
"14044","PSOE",639,39.8379052369077
"14045","PSOE",1290,42.2673656618611
"14046","UP",1412,31.4827201783724
"14047","ABS",494,29.5454545454545
"14048","PSOE",425,35.2112676056338
"14049","ABS",4794,29.3948126801153
"14050","ABS",604,25.2613969050606
"14051","PSOE",469,33.5719398711525
"14052","ABS",3525,37.5839641752852
"14053","ABS",1774,29.5371295371295
"14054","PP",3912,28.5609987588523
"14055","ABS",5793,31.2173303874549
"14056","ABS",7623,32.3268733302235
"14057","ABS",1505,24.5273794002608
"14058","ABS",2553,32.0326223337516
"14059","PP",212,30.7246376811594
"14060","PSOE",1533,31.4913722267872
"14061","PSOE",300,40.3225806451613
"14062","PSOE",353,34.4390243902439
"14063","ABS",321,30.6883365200765
"14064","PSOE",104,32.5
"14065","PSOE",475,25.6756756756757
"14066","ABS",1761,30.0717213114754
"14067","PSOE",1003,25.790691694523
"14068","PSOE",190,35.3159851301115
"14069","PSOE",2418,32.1371610845295
"14070","PP",489,36.7117117117117
"14071","PSOE",305,32.8310010764263
"14072","PSOE",409,39.0267175572519
"14073","PSOE",979,33.8637149775164
