"codEst";"codParam";"month";"day";"year";"dat"
"28079004";"01";"12";13;2016;4
"28079004";"01";"12";14;2016;4
"28079004";"01";"12";15;2016;4
"28079004";"01";"12";16;2016;3
"28079004";"01";"12";17;2016;6
"28079004";"01";"12";18;2016;7
"28079004";"01";"12";19;2016;7
"28079004";"01";"12";20;2016;11
"28079004";"01";"12";21;2016;18
"28079004";"01";"12";22;2016;15
"28079004";"01";"12";23;2016;14
"28079004";"01";"12";24;2016;7
"28079004";"01";"12";25;2016;13
"28079004";"01";"12";26;2016;11
"28079004";"01";"12";27;2016;13
"28079004";"01";"12";28;2016;11
"28079004";"01";"12";29;2016;8
"28079004";"01";"12";30;2016;10
"28079004";"01";"12";31;2016;13
"28079004";"06";"01";1;2016;0,4
"28079004";"06";"01";2;2016;0,5
"28079004";"06";"01";3;2016;0,6
"28079004";"06";"01";4;2016;0,3
"28079004";"06";"01";5;2016;0,4
"28079004";"06";"01";6;2016;0,3
"28079004";"06";"01";7;2016;0,3
"28079004";"06";"01";8;2016;0,3
"28079004";"06";"01";9;2016;0,3
"28079004";"06";"01";10;2016;0,3
"28079004";"06";"01";11;2016;0,3
"28079004";"06";"01";12;2016;0,9
"28079004";"06";"01";13;2016;0,9
"28079004";"06";"01";14;2016;0,9
"28079004";"06";"01";15;2016;0,7
"28079004";"06";"01";16;2016;0,7
"28079004";"06";"01";17;2016;0,7
"28079004";"06";"01";18;2016;0,9
"28079004";"06";"01";19;2016;0,8
"28079004";"06";"01";20;2016;0,6
"28079004";"06";"01";21;2016;0,3
"28079004";"06";"01";22;2016;0,3
"28079004";"06";"01";23;2016;0,4
"28079004";"06";"01";24;2016;0,6
"28079004";"06";"01";25;2016;0,7
"28079004";"06";"01";26;2016;0,8
"28079004";"06";"01";27;2016;0,6
"28079004";"06";"01";28;2016;0,3
"28079004";"06";"01";29;2016;0,3
"28079004";"06";"01";30;2016;0,4
"28079004";"06";"01";31;2016;0,6
"28079004";"06";"02";1;2016;0,6
"28079004";"06";"02";2;2016;0,9
"28079004";"06";"02";3;2016;1
"28079004";"06";"02";4;2016;0,9
"28079004";"06";"02";5;2016;0,8
"28079004";"06";"02";6;2016;0,8
"28079004";"06";"02";7;2016;0,9
"28079004";"06";"02";8;2016;0,8
"28079004";"06";"02";9;2016;0,8
"28079004";"06";"02";10;2016;0,8
"28079004";"06";"02";11;2016;0,8
"28079004";"06";"02";12;2016;0,6
"28079004";"06";"02";13;2016;0,3
"28079004";"06";"02";14;2016;0,3
"28079004";"06";"02";15;2016;0,3
"28079004";"06";"02";16;2016;0,3
"28079004";"06";"02";17;2016;0,3
"28079004";"06";"02";18;2016;0,4
"28079004";"06";"02";19;2016;0,4
"28079004";"06";"02";20;2016;0,3
"28079004";"06";"02";21;2016;0,3
"28079004";"06";"02";22;2016;0,3
"28079004";"06";"02";23;2016;0,6
"28079004";"06";"02";24;2016;0,6
"28079004";"06";"02";25;2016;0,7
"28079004";"06";"02";26;2016;0,6
"28079004";"06";"02";27;2016;0,3
"28079004";"06";"02";28;2016;0,3
"28079004";"06";"03";1;2016;0,3
"28079004";"06";"03";2;2016;0,4
"28079004";"06";"03";3;2016;0,5
"28079004";"06";"03";4;2016;0,4
"28079004";"06";"03";5;2016;0,4
"28079004";"06";"03";6;2016;0,6
"28079004";"06";"03";7;2016;0,5
"28079004";"06";"03";8;2016;0,4
"28079004";"06";"03";9;2016;0,3
"28079004";"06";"03";10;2016;0,5
"28079004";"06";"03";11;2016;0,5
"28079004";"06";"03";12;2016;0,4
"28079004";"06";"03";13;2016;0,3
"28079004";"06";"03";14;2016;0,4
"28079004";"06";"03";15;2016;0,3
"28079004";"06";"03";16;2016;0,3
"28079004";"06";"03";17;2016;0,4
"28079004";"06";"03";18;2016;0,5
"28079004";"06";"03";19;2016;0,5
"28079004";"06";"03";20;2016;0,5
"28079004";"06";"03";21;2016;0,4
"28079004";"06";"03";22;2016;0,4
"28079004";"06";"03";23;2016;0,4
"28079004";"06";"03";24;2016;0,4
"28079004";"06";"03";25;2016;0,5
"28079004";"06";"03";26;2016;0,5
"28079004";"06";"03";27;2016;0,3
"28079004";"06";"03";28;2016;0,3
"28079004";"06";"03";29;2016;0,3
"28079004";"06";"03";30;2016;0,4
"28079004";"06";"03";31;2016;0,6
"28079004";"06";"04";1;2016;0,6
"28079004";"06";"04";2;2016;0,5
"28079004";"06";"04";3;2016;0,4
"28079004";"06";"04";4;2016;0,4
"28079004";"06";"04";5;2016;0,5
"28079004";"06";"04";6;2016;0,4
"28079004";"06";"04";7;2016;0,6
"28079004";"06";"04";8;2016;0,6
"28079004";"06";"04";9;2016;0,5
"28079004";"06";"04";10;2016;0,4
"28079004";"06";"04";11;2016;0,3
"28079004";"06";"04";12;2016;0,3
"28079004";"06";"04";13;2016;0,5
"28079004";"06";"04";14;2016;0,5
"28079004";"06";"04";15;2016;0,3
"28079004";"06";"04";16;2016;0,3
"28079004";"06";"04";17;2016;0,3
"28079004";"06";"04";18;2016;0,3
"28079004";"06";"04";19;2016;0,3
"28079004";"06";"04";20;2016;0,3
"28079004";"06";"04";21;2016;0,3
"28079004";"06";"04";22;2016;0,3
"28079004";"06";"04";23;2016;0,3
"28079004";"06";"04";24;2016;0,2
"28079004";"06";"04";25;2016;0,3
"28079004";"06";"04";26;2016;0
"28079004";"06";"04";27;2016;0,4
"28079004";"06";"04";28;2016;0,4
"28079004";"06";"04";29;2016;0,3
"28079004";"06";"05";1;2016;0,3
"28079004";"06";"05";2;2016;0,3
"28079004";"06";"05";3;2016;0,4
"28079004";"06";"05";4;2016;0,4
"28079004";"06";"05";5;2016;0,4
"28079004";"06";"05";6;2016;0,2
"28079004";"06";"05";7;2016;0,1
"28079004";"06";"05";8;2016;0,2
"28079004";"06";"05";9;2016;0,3
"28079004";"06";"05";10;2016;0,2
"28079004";"06";"05";11;2016;0,2
"28079004";"06";"05";12;2016;0,2
"28079004";"06";"05";13;2016;0,2
"28079004";"06";"05";14;2016;0,2
"28079004";"06";"05";15;2016;0,1
"28079004";"06";"05";16;2016;0,1
"28079004";"06";"05";17;2016;0,2
"28079004";"06";"05";18;2016;0,2
"28079004";"06";"05";19;2016;0,1
"28079004";"06";"05";20;2016;0,2
"28079004";"06";"05";21;2016;0,2
"28079004";"06";"05";22;2016;0,2
"28079004";"06";"05";23;2016;0,3
"28079004";"06";"05";24;2016;0
"28079004";"06";"05";25;2016;0
"28079004";"06";"05";26;2016;0,4
"28079004";"06";"05";27;2016;0,3
"28079004";"06";"05";28;2016;0,3
"28079004";"06";"05";29;2016;0,3
"28079004";"06";"06";1;2016;0,3
"28079004";"06";"06";2;2016;0,3
"28079004";"06";"06";3;2016;0,3
"28079004";"06";"06";4;2016;0,3
"28079004";"06";"06";5;2016;0,3
"28079004";"06";"06";6;2016;0,3
"28079004";"06";"06";7;2016;0,3
"28079004";"06";"06";8;2016;0,3
"28079004";"06";"06";9;2016;0,3
"28079004";"06";"06";10;2016;0,3
"28079004";"06";"06";11;2016;0,4
"28079004";"06";"06";12;2016;0,3
"28079004";"06";"06";13;2016;0,4
"28079004";"06";"06";14;2016;0,4
"28079004";"06";"06";15;2016;0,4
"28079004";"06";"06";16;2016;0,4
"28079004";"06";"06";17;2016;0,3
"28079004";"06";"06";18;2016;0,3
"28079004";"06";"06";19;2016;0,3
"28079004";"06";"06";20;2016;0,4
"28079004";"06";"06";21;2016;0,4
"28079004";"06";"06";22;2016;0,4
"28079004";"06";"06";23;2016;0,3
"28079004";"06";"06";24;2016;0,3
"28079004";"06";"06";25;2016;0,4
"28079004";"06";"06";26;2016;0,4
"28079004";"06";"06";27;2016;0,3
"28079004";"06";"06";28;2016;0,4
"28079004";"06";"06";29;2016;0,3
"28079004";"06";"06";30;2016;0,3
"28079004";"06";"07";1;2016;0,3
"28079004";"06";"07";2;2016;0,4
"28079004";"06";"07";3;2016;0,4
"28079004";"06";"07";4;2016;0,4
"28079004";"06";"07";5;2016;0,4
"28079004";"06";"07";6;2016;0,3
"28079004";"06";"07";7;2016;0,3
"28079004";"06";"07";8;2016;0,3
"28079004";"06";"07";9;2016;0,3
"28079004";"06";"07";10;2016;0,3
"28079004";"06";"07";11;2016;0,4
"28079004";"06";"07";12;2016;0,3
"28079004";"06";"07";13;2016;0,3
"28079004";"06";"07";14;2016;0,3
"28079004";"06";"07";15;2016;0,3
"28079004";"06";"07";16;2016;0,4
"28079004";"06";"07";17;2016;0,3
"28079004";"06";"07";18;2016;0,3
"28079004";"06";"07";19;2016;0,3
"28079004";"06";"07";20;2016;0,3
"28079004";"06";"07";21;2016;0,4
"28079004";"06";"07";22;2016;0,3
"28079004";"06";"07";23;2016;0,3
"28079004";"06";"07";24;2016;0,2
"28079004";"06";"07";25;2016;0,3
"28079004";"06";"07";26;2016;0,5
"28079004";"06";"07";27;2016;0,3
"28079004";"06";"07";28;2016;0,3
"28079004";"06";"07";29;2016;0,4
"28079004";"06";"07";30;2016;0,3
